,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
0,"['XC90', 'T6', 'Momentum', '7', 'Passenger']","12,145 mi.",Bedard Bros,4.2,90,"$48,995", Volvo,2020
1,"['V90', 'Cross', 'Country', 'B']","6,055 mi.",Crest Volvo Cars,4.8,1606,"$59,437", Volvo,2022
2,"['XC40', 'T5', 'R-Design']","40,783 mi.",Rickenbaugh Cadillac Volvo Cars,4.9,2659,"$40,000", Volvo,2020
3,"['XC60', 'Inscription']","2,442 mi.",Gengras Volvo,4.5,159,"$56,325", Volvo,2022
4,"['S90', 'Hybrid', 'T8', 'R-Design']","36,555 mi.",Ken Pollock Volvo Cars,4.9,644,"$53,990", Volvo,2020
5,"['S60', 'Hybrid', 'T8', 'Inscription']","35,169 mi.",Niello Volvo Cars Sacramento,4.5,18,"$46,440", Volvo,2019
6,"['XC40', 'T5', 'R-Design']","20,047 mi.",Jaguar Land Rover Porsche Volvo Cars of Greenville,4.6,496,"$42,398", Volvo,2021
7,"['XC40', 'T4', 'Momentum']","15,855 mi.",Crown Volvo Cars,4.9,1490,"$30,491", Volvo,2020
8,"['XC60', 'T5', 'Momentum']","9,641 mi.",Niello Volvo Cars Sacramento,4.5,18,"$44,240", Volvo,2021
9,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","8,084 mi.",Crippen Automotive,4.9,1143,"$62,903", Volvo,2022
10,"['XC40', 'T4', 'Momentum']","24,146 mi.",Crest Volvo Cars,4.8,1606,"$38,884", Volvo,2021
11,"['V60', 'Cross', 'Country', 'T5']","36,326 mi.",Volvo Cars San Diego,4.4,130,"$38,792", Volvo,2020
12,"['XC40', 'T5', 'Inscription']","19,625 mi.",Crown Volvo Cars,4.9,1490,"$39,991", Volvo,2020
13,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","11,296 mi.",The Autobarn Volvo Cars of Oak Park,4.8,944,"$64,990", Volvo,2022
14,"['XC90', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription', 'Extended', 'Range', '6P']","1,684 mi.",Volvo Cars of Marietta,4.8,1119,"$78,989", Volvo,2022
15,"['S60', 'B5', 'R-Design']","4,511 mi.",Volvo Cars Gilbert,4.7,296,"$42,600", Volvo,2022
16,"['V90', 'T5', 'R-Design']","40,406 mi.",Secor Volvo,4.7,1057,"$39,995", Volvo,2019
17,"['S60', 'T5']","38,892 mi.",McLarty Volvo Cars of Little Rock,4.8,274,"$35,790", Volvo,2021
18,"['XC40', 'Recharge', 'Pure', 'Electric', 'P']","14,877 mi.",Ken Pollock Volvo Cars,4.9,644,"$55,490", Volvo,2021
19,"['V90', 'T5', 'R-Design']","33,386 mi.",Volvo Cars Mall of Georgia,4.9,2187,"$48,000", Volvo,2021
20,"['XC90', 'T6', 'Momentum', '7', 'Passenger']","12,145 mi.",Bedard Bros,4.2,90,"$48,995", Volvo,2020
21,"['V90', 'Cross', 'Country', 'B']","6,055 mi.",Crest Volvo Cars,4.8,1606,"$59,437", Volvo,2022
22,"['XC60', 'Inscription']","2,442 mi.",Gengras Volvo,4.5,159,"$56,325", Volvo,2022
23,"['XC40', 'T5', 'R-Design']","40,783 mi.",Rickenbaugh Cadillac Volvo Cars,4.9,2659,"$40,000", Volvo,2020
24,"['S90', 'Hybrid', 'T8', 'R-Design']","36,555 mi.",Ken Pollock Volvo Cars,4.9,644,"$53,990", Volvo,2020
25,"['S60', 'Hybrid', 'T8', 'Inscription']","35,169 mi.",Niello Volvo Cars Sacramento,4.5,18,"$46,440", Volvo,2019
26,"['XC40', 'T5', 'R-Design']","20,047 mi.",Jaguar Land Rover Porsche Volvo Cars of Greenville,4.6,496,"$42,398", Volvo,2021
27,"['XC40', 'T4', 'Momentum']","15,855 mi.",Crown Volvo Cars,4.9,1490,"$30,491", Volvo,2020
28,"['XC60', 'T5', 'Momentum']","9,641 mi.",Niello Volvo Cars Sacramento,4.5,18,"$44,240", Volvo,2021
29,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","8,084 mi.",Crippen Automotive,4.9,1143,"$62,903", Volvo,2022
30,"['XC40', 'T4', 'Momentum']","24,146 mi.",Crest Volvo Cars,4.8,1606,"$38,884", Volvo,2021
31,"['V60', 'Cross', 'Country', 'T5']","36,326 mi.",Volvo Cars San Diego,4.4,130,"$38,792", Volvo,2020
32,"['XC40', 'T5', 'Inscription']","19,625 mi.",Crown Volvo Cars,4.9,1490,"$39,991", Volvo,2020
33,"['XC60', 'Recharge', 'Plug-In', 'Hybrid', 'T8', 'Inscription']","11,296 mi.",The Autobarn Volvo Cars of Oak Park,4.8,944,"$64,990", Volvo,2022
